Source Table,Problem,DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,simple_solve,reuse_points,initial_solution,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),budget,backorder_cost,demand_mean,warmup,variable_cost,fixed_cost,lead_mean,holding_cost,n_days,arc_costs,arcs,num_nodes
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",1,0.2727277034,0.3279336041,.,0,.,0,.,0,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",2,0.33089394,0.3664720086,.,0,.,0,.,0,0.088,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",3,0.2450529976,0.3008428792,.,0,.,0,.,0,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",4,0.174594634,0.2086051707,.,0,.,0,0.088,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",5,0.0943224916,0.1393670686,.,0,0.104,1,0.088,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",6,0.3062272742,0.2767913601,0.21,1,0.21,1,0.188,1,0.088,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",7,0.2587521613,0.3094564656,.,0,.,0,0.116,1,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",8,0.2688862865,0.3171527706,.,0,.,0,.,0,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",9,0.0596343788,0.1083656965,0.263,1,0.104,1,0.088,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",0,0.0192848738,0.0918136419,0.188,1,0.188,1,0.104,1,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",1,0.2543582373,0.2946267952,.,0,.,0,.,0,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",2,0.0649093468,0.1399038854,0.314,1,0.188,1,0.088,1,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",3,0.1953893691,0.2943797489,.,0,.,0,0.604,1,0.112,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",4,0.0510576052,0.1157373441,.,0,0.104,1,0.088,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",5,0.0060155376,0.1848539597,0.247,1,0.088,1,0.072,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",6,0.3577381602,0.4348778177,.,0,.,0,.,0,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",7,0.1633152896,0.229718108,.,0,.,0,0.088,1,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",8,0.4046657537,0.4520699891,.,0,.,0,.,0,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,3,True,0.225,0.9,1.375,0.6,4,True,True,"(600, 600)",9,0.0011449971,0.0561849571,0.116,1,0.088,1,0.088,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",0,0.4131828447,0.3081432294,0.872,1,0.056,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",1,0.0030553038,0.230386703,0.336,1,0.336,1,0.068,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",2,0.4523249443,0.4568762077,0.797,1,0.436,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",3,0.7261912073,0.4471021873,0.256,1,0.256,1,0.256,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",4,0.1595917092,0.3893347035,.,0,0.843,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",5,1.1874341656,0.7007801198,.,0,0.188,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",6,0.8249333196,0.46704756,0.428,1,0.236,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",7,0.1089194557,0.5403195219,.,0,0.452,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",8,0.3972688231,0.4241061716,.,0,.,0,.,0,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,4,True,0.275,0.55,2.5,0.85,4,True,True,"(600, 600)",9,1.1461868854,0.5951956772,.,0,0.432,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",0,0.194918583,0.4673321799,.,0,0.068,1,0.068,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",1,1.0256996547,0.5102076159,0.244,1,0.244,1,0.068,1,0.068,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",2,0.357353308,0.3202852423,0.512,1,0.056,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",3,0.0584734881,0.2144279457,.,0,0.492,1,0.068,1,0.068,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",4,0.2575774383,0.405792068,.,0,.,0,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",5,0.1305634437,0.1959512936,.,0,0.26,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",6,0.0555451245,0.3717705036,0.444,1,0.444,1,0.444,1,0.128,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",7,0.0466495153,0.4346118279,0.232,1,0.232,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",8,0.0328115591,0.665333478,0.997,1,0.997,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,5,True,0.25,0.825,3,0.35,4,True,True,"(600, 600)",9,0.3554089542,0.28740236,0.7,1,0.308,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",0,0.0324720387,0.4138611056,0.296,1,0.296,1,0.296,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",1,0.232923193,0.2632986837,.,0,.,0,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",2,1.7142622245,0.3519588163,.,0,0.534,1,0.534,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",3,0.094811102,0.4888528457,.,0,0.846,1,0.614,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",4,0.2488393971,0.2310877332,.,0,.,0,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",5,0.1798353527,0.2693360044,.,0,.,0,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",6,-0.003093128,0.67504177,0.228,1,0.228,1,0.188,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",7,0.0877929488,0.3568330864,0.184,1,0.184,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",8,0.2575703444,0.4063256412,.,0,.,0,.,0,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,6,True,0.5,0.625,2.25,0.25,4,True,True,"(600, 600)",9,0.0938465389,0.1246472267,0.29,1,0.172,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",0,0.1993263695,0.2103959183,.,0,0.14,1,0.14,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",1,0.0913766663,0.3495162926,.,0,0.224,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",2,1.4901341193,0.688774335,0.084,1,0.084,1,0.084,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",3,0.1906249232,0.3620054842,.,0,0.196,1,0.196,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",4,0.2563326405,0.2546741766,0.16,1,0.16,1,0.072,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",5,2.2923416519,0.3931636714,0.072,1,0.072,1,0.056,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",6,-0.004810602,0.7553558756,0.108,1,0.108,1,0.108,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",7,2.3165625076,0.7109036669,.,0,0.506,1,0.096,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",8,0.2266802149,0.2715976086,.,0,.,0,0.12,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,7,True,0.4,0.875,2.125,0.8,4,True,True,"(600, 600)",9,0.2463978982,0.2537892116,0.792,1,0.072,1,0.056,1,0.04,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",0,0.0289942738,0.0773358586,0.072,1,0.072,1,0.072,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,8,True,0.3,0.7,2,0.5,4,True,True,"(600, 600)",1,0.0655914349,0.3177670278,.,0,0.18,1,0.152,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
